,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate\
North Dakota,US,8/7/20 4:35,47.5289,-99.784,7177,109,5949,1119,38,941.7868887,163719,400,1.518740421,84000038,USA,21483.68505,5.573359342343598\
Northern Mariana Islands,US,8/7/20 4:35,15.0979,145.6739,47,2,29,16,69,85.23139417,12301,4,4.255319149,580,MNP,22307.05063,8.51063829787234\
Ohio,US,8/7/20 4:35,40.3888,-82.7649,97471,3618,74612,19241,39,833.8623162,1598039,11366,3.711873275,84000039,USA,13671.1894,11.66090426896205\
Oklahoma,US,8/7/20 4:35,35.5653,-96.9289,41401,593,34320,6488,40,1046.280097,674653,3497,1.432332552,84000040,USA,17049.73324,8.446655877877346\
Oregon,US,8/7/20 4:35,44.572,-122.0709,20224,339,4065,15820,41,479.4988403,432262,1743,1.676226266,84000041,USA,10248.67127,8.618473101265822\
Pennsylvania,US,8/7/20 4:35,40.5908,-77.2098,121247,7282,88555,25410,42,947.0950178,1300251,,6.005921796,84000042,USA,10156.63269,\
Puerto Rico,US,8/7/20 4:35,18.2208,-66.5901,19934,258,,19676,72,679.5508842,325906,,1.294271095,630,PRI,11110.14901,\
Rhode Island,US,8/7/20 4:35,41.6809,-71.5118,19611,1014,1866,16731,44,1851.210305,215723,2264,5.170567539,84000044,USA,20363.50215,11.544541328846055\
South Carolina,US,8/7/20 4:35,33.8569,-80.945,96797,1942,32859,61996,45,1880.022856,756145,5799,2.006260525,84000045,USA,14686.09443,5.9908881473599385\
South Dakota,US,8/7/20 4:35,44.2998,-99.4388,9273,141,8145,987,46,1048.200493,117574,861,1.520543513,84000046,USA,13290.31864,9.28502102879327\
Tennessee,US,8/7/20 4:35,35.7478,-86.6923,116350,1186,77558,37606,47,1703.719952,1635191,5109,1.019338204,84000047,USA,23944.19882,4.391061452513966\
Texas,US,8/7/20 4:35,31.0545,-97.5635,483920,8569,323804,151547,48,1668.9267,3944480,,1.770747231,84000048,USA,13603.58735,\
Utah,US,8/7/20 4:35,40.15,-111.8624,42915,330,31619,10966,49,1338.601441,555391,2554,0.768961901,84000049,USA,17323.71416,5.9512990795759055\
Vermont,US,8/7/20 4:35,44.0459,-72.7107,1445,58,1258,129,50,231.5745951,100052,,4.01384083,84000050,USA,16034.25701,\
Virgin Islands,US,8/7/20 4:35,18.3358,-64.8963,501,9,384,108,78,467.0544804,10375,,1.796407186,850,VIR,9672.036395,\
Virginia,US,8/7/20 4:35,37.7693,-78.17,95867,2299,12635,80933,51,1123.15373,1194927,13984,2.398114054,84000051,USA,13999.46506,14.586875567192047\
Washington,US,8/7/20 4:35,47.4009,-121.4905,60917,1653,,59264,53,799.9718446,1010191,5840,2.713528243,84000053,USA,13265.99074,9.58681484643039\
West Virginia,US,8/7/20 4:35,38.4912,-80.9545,7278,124,5330,1824,54,406.1050795,307409,,1.703764771,84000054,USA,17153.113,\
Wisconsin,US,8/7/20 4:35,44.2685,-89.6165,57779,978,47221,9580,55,992.3513087,1023836,4881,1.692656501,84000055,USA,17584.32985,8.44770591391336\
Wyoming,US,8/7/20 4:35,42.756,-107.3025,2953,27,2366,560,56,510.2296465,56108,171,0.914324416,84000056,USA,9694.536068,5.790721300372502\
},,,,,,,,,,,,,,,,,
